chapter,content_units,unique_units,lexical_diversity
1,970,643,0.6628865979381443
2,1202,841,0.699667221297837
3,964,685,0.7105809128630706
4,1508,953,0.6319628647214854
5,827,560,0.6771463119709794
6,1679,1036,0.6170339487790352
7,1659,1127,0.679324894514768
8,1964,1259,0.6410386965376782
9,1001,675,0.6743256743256744
10,1192,774,0.6493288590604027
11,2324,1475,0.6346815834767642
12,2565,1506,0.5871345029239766
13,1577,975,0.6182625237793279
14,1297,853,0.6576715497301465
15,803,580,0.7222914072229141
16,1020,767,0.7519607843137255
17,2448,1534,0.6266339869281046
18,1310,898,0.6854961832061068
19,866,602,0.6951501154734411
20,556,413,0.7428057553956835
