chapter,all_lines,dialogue_lines,dialogue_share
1,99,46,0.46464646464646464
2,46,24,0.5217391304347826
3,28,17,0.6071428571428571
4,54,34,0.6296296296296297
5,54,38,0.7037037037037037
6,92,64,0.6956521739130435
7,64,28,0.4375
8,51,20,0.39215686274509803
9,93,69,0.7419354838709677
10,85,49,0.5764705882352941
11,76,51,0.6710526315789473
12,86,37,0.43023255813953487
13,105,84,0.8
14,57,31,0.543859649122807
15,57,29,0.5087719298245614
16,20,3,0.15
17,124,79,0.6370967741935484
18,49,27,0.5510204081632653
19,60,31,0.5166666666666667
20,49,27,0.5510204081632653
